product_id,reference_number,image_path,status,error
239,5344/102/800,data/images/5344_102_800.jpg,ok,
240,0085/305/831,data/images/0085_305_831.jpg,ok,
241,2142/026/737,data/images/2142_026_737.jpg,ok,
242,1355/457/660,data/images/1355_457_660.jpg,ok,
243,5039/224/524,data/images/5039_224_524.jpg,ok,
244,2148/683/700,data/images/2148_683_700.jpg,ok,
245,1026/825/250,data/images/1026_825_250.jpg,ok,
246,1063/198/715,data/images/1063_198_715.jpg,ok,
247,5039/860/716,data/images/5039_860_716.jpg,ok,
248,3641/874/800,data/images/3641_874_800.jpg,ok,
249,3641/871/700,data/images/3641_871_700.jpg,ok,
250,1355/016/700,data/images/1355_016_700.jpg,ok,
251,5039/215/064,data/images/5039_215_064.jpg,ok,
252,2157/221/700,data/images/2157_221_700.jpg,ok,
253,5919/105/700,data/images/5919_105_700.jpg,ok,
254,2279/342/614,data/images/2279_342_614.jpg,ok,
255,1822/003/600,data/images/1822_003_600.jpg,ok,
256,2033/848/719,data/images/2033_848_719.jpg,ok,
257,2185/545/172,data/images/2185_545_172.jpg,ok,
258,5067/178/305,data/images/5067_178_305.jpg,ok,
259,5039/850/800,data/images/5039_850_800.jpg,ok,
260,2298/153/093,data/images/2298_153_093.jpg,ok,
261,5039/182/084,data/images/5039_182_084.jpg,ok,
262,5584/008/800,data/images/5584_008_800.jpg,ok,
263,5584/011/800,data/images/5584_011_800.jpg,ok,
264,0264/007/800,data/images/0264_007_800.jpg,ok,
265,1165/011/064,data/images/1165_011_064.jpg,ok,
266,1355/002/800,data/images/1355_002_800.jpg,ok,
267,0347/001/800,data/images/0347_001_800.jpg,ok,
268,1355/012/800,data/images/1355_012_800.jpg,ok,
269,5063/315/712,data/images/5063_315_712.jpg,ok,
270,4813/303/800,data/images/4813_303_800.jpg,ok,
271,4192/141/717,data/images/4192_141_717.jpg,ok,
272,2176/743/712,data/images/2176_743_712.jpg,ok,
273,1223/104/802,data/images/1223_104_802.jpg,ok,
274,1223/135/800,data/images/1223_135_800.jpg,ok,
275,2231/581/681,data/images/2231_581_681.jpg,ok,
276,4764/044/064,data/images/4764_044_064.jpg,ok,
277,6050/028/800,data/images/6050_028_800.jpg,ok,
278,5644/010/802,data/images/5644_010_802.jpg,ok,
279,5644/008/063,data/images/5644_008_063.jpg,ok,
280,3641/838/250,data/images/3641_838_250.jpg,ok,
281,1355/010/800,data/images/1355_010_800.jpg,ok,
282,5919/617/800,data/images/5919_617_800.jpg,ok,
283,5919/614/800,data/images/5919_614_800.jpg,ok,
284,6929/365/443,data/images/6929_365_443.jpg,ok,
285,2010/762/087,data/images/2010_762_087.jpg,ok,
286,0387/160/800,data/images/0387_160_800.jpg,ok,
287,0264/304/093,data/images/0264_304_093.jpg,ok,
288,4174/001/706,data/images/4174_001_706.jpg,ok,
289,8727/267/443,data/images/8727_267_443.jpg,ok,
290,2128/155/080,data/images/2128_155_080.jpg,ok,
291,3644/167/450,data/images/3644_167_450.jpg,ok,
292,1579/101/800,data/images/1579_101_800.jpg,ok,
293,1355/117/800,data/images/1355_117_800.jpg,ok,
294,4786/008/406,data/images/4786_008_406.jpg,ok,
295,5063/306/717,data/images/5063_306_717.jpg,ok,
296,3253/318/710,data/images/3253_318_710.jpg,ok,
297,1368/034/800,data/images/1368_034_800.jpg,ok,
298,1368/024/681,data/images/1368_024_681.jpg,ok,
299,1131/307/800,data/images/1131_307_800.jpg,ok,
300,5919/114/500,data/images/5919_114_500.jpg,ok,
301,1355/112/800,data/images/1355_112_800.jpg,ok,
302,2022/748/800,data/images/2022_748_800.jpg,ok,
303,2024/640/612,data/images/2024_640_612.jpg,ok,
304,5039/341/807,data/images/5039_341_807.jpg,ok,
305,5919/111/800,data/images/5919_111_800.jpg,ok,
306,2171/018/090,data/images/2171_018_090.jpg,ok,
307,2108/572/700,data/images/2108_572_700.jpg,ok,
308,2166/681/093,data/images/2166_681_093.jpg,ok,
