product_url,product_name,mrp,color,reference_number,description,product_image,product_category
https://www.zara.com/es/en/striped-belted-top-p01131302.html,STRIPED BELTED TOP,22.95 EUR,BROWN / ECRU,1131/302/087,Not available,https://static.zara.net/assets/public/942b/802f/23514494a8e4/978cc16987ef/01131302087-p/01131302087-p.jpg?ts=1767965232423&w=1118,TOPS
https://www.zara.com/es/en/fine-strap-polyamide-t-shirt-p03905532.html,FINE STRAP POLYAMIDE T-SHIRT,7.95 EUR,WHITE,3905/532/250,"MID WEIGHT - SLIM FIT - ROUND NECK - REGULAR LENGTH - SLEEVELESS

Fitted T-shirt made from a polyamide blend fabric with a round neckline and straps.",https://static.zara.net/assets/public/4c01/d6ad/dbd846a0b090/06e58a666364/03905532250-p/03905532250-p.jpg?ts=1762425752710&w=1118,TOPS
https://www.zara.com/es/en/cropped-stretch-t-shirt-p02335299.html,CROPPED STRETCH T-SHIRT,5.95 EUR,BLACK,2335/299/800,"MID WEIGHT - SLIM FIT - ROUND NECK - CROPPED - SHORT SLEEVES

Cropped T-shirt made of a cotton blend. Round neckline and short sleeves.",https://static.zara.net/assets/public/8892/3270/158440d6b2bd/bf727802302b/02335299800-p/02335299800-p.jpg?ts=1750863291250&w=1118,TOPS
https://www.zara.com/es/en/soft-buckle-top-p00264304.html,SOFT TOP WITH BUCKLE,22.95 EUR,BLACK / ECRU,0264/304/093,"Top featuring a straight neckline, open shoulders and long sleeves. Combination of contrasting fabrics. Metal buckle detail. Straight hem.",https://static.zara.net/assets/public/759c/3aa8/f63c4adea802/b7752bb1d358/00264304093-p/00264304093-p.jpg?ts=1767005121259&w=1118,TOPS
https://www.zara.com/es/en/structured-waistcoat-with-buttons-p05039215.html,STRUCTURED WAISTCOAT WITH BUTTONS,22.95 EUR,BLACK / WHITE,5039/215/064,V-neck waistcoat with sleeveless design. Featuring a structured fabric and metallic thread appliqué. Asymmetric hem. Front fastening with metal buttons.,https://static.zara.net/assets/public/2b20/eff7/dc4649f2ac9a/f8b8b085c36b/05039215064-p/05039215064-p.jpg?ts=1761836525723&w=1118,TOPS
https://www.zara.com/es/en/structured-waistcoat-with-buttons-p05039215.html,STRUCTURED WAISTCOAT WITH BUTTONS,22.95 EUR,BLACK / WHITE,5039/215/064,V-neck waistcoat with sleeveless design. Featuring a structured fabric and metallic thread appliqué. Asymmetric hem. Front fastening with metal buttons.,https://static.zara.net/assets/public/2b20/eff7/dc4649f2ac9a/f8b8b085c36b/05039215064-p/05039215064-p.jpg?ts=1761836525723&w=1118,TOPS
https://www.zara.com/es/en/long-satin-top-with-fringing-p02022748.html,LONG SATIN TOP WITH FRINGING,29.95 EUR,BLACK,2022/748/800,Top with a flowing neckline and sleeveless. Side pleat detail at the waist and an asymmetric hem with fringing. Fastens at the back with an opening and a concealed button.,https://static.zara.net/assets/public/d10b/b58e/71b543e289cf/5cd2a329af98/02022748800-p/02022748800-p.jpg?ts=1766414781470&w=1118,TOPS
https://www.zara.com/es/en/fringed-balloon-top-p02024640.html,BALLOON TOP WITH FRINGING,25.95 EUR,MAUVE,2024/640/612,"Round neck, sleeveless top with a voluminous hem with elastic trim. Features a buttoned opening at the back with a concealed button.",https://static.zara.net/assets/public/0eaf/90d5/8f5e4985b194/e0d13f944907/02024640612-p/02024640612-p.jpg?ts=1764670543062&w=1118,TOPS
https://www.zara.com/es/en/polyamide-top-with-wide-straps-p03905531.html,POLYAMIDE TOP WITH WIDE STRAPS,9.95 EUR,ECRU,3905/531/712,"MID WEIGHT - SLIM FIT - ROUND NECKLINE - NORMAL LENGTH - SLEEVELESS

Fitted top made from a polyamide blend. Features wide straps and chest reinforcement.",https://static.zara.net/assets/public/3351/317c/a98f4db2a1fa/fa43498cca63/1686731252195/1686731252195.jpg?ts=1727719007028&w=1118,TOPS
https://www.zara.com/es/en/fine-strap-polyamide-t-shirt-p03905532.html,FINE STRAP POLYAMIDE T-SHIRT,7.95 EUR,WHITE,3905/532/250,"MID WEIGHT - SLIM FIT - ROUND NECK - REGULAR LENGTH - SLEEVELESS

Fitted T-shirt made from a polyamide blend fabric with a round neckline and straps.",https://static.zara.net/assets/public/4c01/d6ad/dbd846a0b090/06e58a666364/03905532250-p/03905532250-p.jpg?ts=1762425752710&w=1118,TOPS
https://www.zara.com/es/en/ribbed-top-p04424300.html,RIBBED TOP,8.95 EUR,BLACK,4424/300/800,Fitted sleeveless top with a round neck.,https://static.zara.net/assets/public/8585/b9ce/7d4a40cda522/12b1e0a5c225/04424300800-p/04424300800-p.jpg?ts=1755706033847&w=1118,TOPS
https://www.zara.com/es/en/ribbed-top-p04424300.html,RIBBED TOP,8.95 EUR,BLACK,4424/300/800,Fitted sleeveless top with a round neck.,https://static.zara.net/assets/public/8585/b9ce/7d4a40cda522/12b1e0a5c225/04424300800-p/04424300800-p.jpg?ts=1755706033847&w=1118,TOPS
https://www.zara.com/es/en/gathered-neckline-stocking-top-p05919110.html,GATHERED V-NECK STOCKING TOP,15.95 EUR,DARK BROWN,5919/110/716,Stocking-style top made from a polyamide blend. V-neckline and thin straps. Gathered fabric detail on the chest.,https://static.zara.net/assets/public/4674/a650/416240739514/2d7e1e246494/05919110716-p/05919110716-p.jpg?ts=1767875176190&w=1118,TOPS
https://www.zara.com/es/en/satin-halter-top-p02157221.html,SATIN HALTER TOP,19.95 EUR,BROWN,2157/221/700,Halter neck top with a bare back. Back fastening with hidden buttons.,https://static.zara.net/assets/public/0dc1/5c44/e65f43c5ac3d/2af63e7e04fe/08016399700-p/08016399700-p.jpg?ts=1765876071921&w=1118,TOPS
https://www.zara.com/es/en/denim-effect-bustier-top-p06929365.html,DENIM-EFFECT BUSTIER TOP,25.95 EUR,DARK INDIGO,6929/365/443,Bustier top with a straight elastic neckline and bare shoulders. Featuring internal boning detail that enhances and flatters the figure. Flared hem. Metal zip fastening at the back.,https://static.zara.net/assets/public/c8d3/b3b9/db9f427cb88f/7847d51dcf77/06929365443-p/06929365443-p.jpg?ts=1767888747692&w=1118,TOPS
https://www.zara.com/es/en/striped-zip-up-waistcoat-p02010762.html,STRIPED ZIP-UP WAISTCOAT,25.95 EUR,BROWN / ECRU,2010/762/087,Sleeveless waistcoat with a lapel collar. Featuring a double-ended zip-up front.,https://static.zara.net/assets/public/6111/615f/14e7473eadd9/b907b00318be/02010762087-p/02010762087-p.jpg?ts=1767888720210&w=1118,TOPS
https://www.zara.com/es/en/fine-strap-polyamide-t-shirt-p03905532.html,FINE STRAP POLYAMIDE T-SHIRT,7.95 EUR,WHITE,3905/532/250,"MID WEIGHT - SLIM FIT - ROUND NECK - REGULAR LENGTH - SLEEVELESS

Fitted T-shirt made from a polyamide blend fabric with a round neckline and straps.",https://static.zara.net/assets/public/4c01/d6ad/dbd846a0b090/06e58a666364/03905532250-p/03905532250-p.jpg?ts=1762425752710&w=1118,TOPS
https://www.zara.com/es/en/polyamide-blend-top-p01355457.html,POLYAMIDE BLEND TOP,19.95 EUR,WINE,1355/457/660,"Top made from a polyamide blend yarn, featuring a round neckline and adjustable spaghetti straps.",https://static.zara.net/assets/public/90c5/a586/2b964a53a23d/e9d9156c8859/01355457700-072-p/01355457700-072-p.jpg?ts=1765878047434&w=1118,TOPS
https://www.zara.com/es/en/satin-halter-top-p02157221.html,SATIN HALTER TOP,19.95 EUR,BROWN,2157/221/700,Halter neck top with a bare back. Back fastening with hidden buttons.,https://static.zara.net/assets/public/0dc1/5c44/e65f43c5ac3d/2af63e7e04fe/08016399700-p/08016399700-p.jpg?ts=1765876071921&w=1118,TOPS
https://www.zara.com/es/en/satin-halter-top-p02157221.html,SATIN HALTER TOP,19.95 EUR,BROWN,2157/221/700,Halter neck top with a bare back. Back fastening with hidden buttons.,https://static.zara.net/assets/public/0dc1/5c44/e65f43c5ac3d/2af63e7e04fe/08016399700-p/08016399700-p.jpg?ts=1765876071921&w=1118,TOPS
https://www.zara.com/es/en/beaded-textured-cut-out-top-p05919624.html,TEXTURED LACE KNIT BEADED TOP,69.95 EUR,BLACK,5919/624/800,Semi-sheer boat neck top with sleeveless design. Featuring textured openwork fabric detail and matching bead appliqués.,https://static.zara.net/assets/public/6310/373e/091a4aa68939/35583b900e9b/05919624800-p/05919624800-p.jpg?ts=1764066727221&w=1118,TOPS
https://www.zara.com/es/en/polyamide-blend-top-p01355457.html,POLYAMIDE BLEND TOP,19.95 EUR,WINE,1355/457/660,"Top made from a polyamide blend yarn, featuring a round neckline and adjustable spaghetti straps.",https://static.zara.net/assets/public/90c5/a586/2b964a53a23d/e9d9156c8859/01355457700-072-p/01355457700-072-p.jpg?ts=1765878047434&w=1118,TOPS
https://www.zara.com/es/en/textured-top-with-buckle-p05067178.html,TEXTURED TOP WITH BUCKLE,22.95 EUR,MUSTARD,5067/178/305,Boat neck long sleeve top with wide armholes. Featuring a front golden buckle detail.,https://static.zara.net/assets/public/718b/50c0/65a34656ace1/45cc71f3c03c/05067178305-p/05067178305-p.jpg?ts=1767965247847&w=1118,TOPS
https://www.zara.com/es/en/textured-top-with-buckle-p05067178.html,TEXTURED TOP WITH BUCKLE,22.95 EUR,MUSTARD,5067/178/305,Boat neck long sleeve top with wide armholes. Featuring a front golden buckle detail.,https://static.zara.net/assets/public/718b/50c0/65a34656ace1/45cc71f3c03c/05067178305-p/05067178305-p.jpg?ts=1767965247847&w=1118,TOPS
https://www.zara.com/es/en/fringed-balloon-top-p02024640.html,BALLOON TOP WITH FRINGING,25.95 EUR,MAUVE,2024/640/612,"Round neck, sleeveless top with a voluminous hem with elastic trim. Features a buttoned opening at the back with a concealed button.",https://static.zara.net/assets/public/0eaf/90d5/8f5e4985b194/e0d13f944907/02024640612-p/02024640612-p.jpg?ts=1764670543062&w=1118,TOPS
https://www.zara.com/es/en/satin-strappy-lace-top-p01067655.html,SATIN STRAPPY TOP WITH LACE TRIM,29.95 EUR,BLACK,1067/655/800,Top made from satin fabric. V-neckline with matching lace trim. Thin straps.,https://static.zara.net/assets/public/245b/fb0c/04ae41718b58/44beaeca81ec/01067655800-p/01067655800-p.jpg?ts=1764767029514&w=1118,TOPS
