row_id,score,product_name,product_url,price,color,product_category,image_url
230,0.2678699195384979,MAXI HIGH NECK DRESS,https://www.zara.com/es/en/high-neck-maxi-dress-p01198001.html,22.95 EUR,ECRU,DRESSES,https://static.zara.net/assets/public/c138/18d8/4edc4dcb9d4f/8c317bfe8303/01198001712-e1/01198001712-e1.jpg?ts=1767887864165&w=4800
183,0.26668331027030945,MIDI DRESS WITH BELT,https://www.zara.com/es/en/midi-dress-with-belt-p02756144.html,39.95 EUR,LIGHT BROWN,DRESSES,https://static.zara.net/assets/public/56ee/8699/4f4045689d70/cf57a738ca90/02756144730-e1/02756144730-e1.jpg?ts=1761144607990&w=4800
185,0.26625722646713257,GINGHAM CHECK MIDI DRESS,https://www.zara.com/es/en/gingham-check-midi-dress-p03152302.html,35.95 EUR,WHITE / GREEN,DRESSES,https://static.zara.net/assets/public/52b0/e260/6c1342d9a7f5/5d296f60e655/03152302063-e1/03152302063-e1.jpg?ts=1768466820217&w=4800
216,0.26588016748428345,CONTRAST KNIT TULLE DRESS,https://www.zara.com/es/en/knit-dress-with-contrasting-tulle-p01579102.html,49.95 EUR,BLACK,DRESSES,https://static.zara.net/assets/public/0ba2/96ee/051f4dcb9a3f/bedd8dec06be/01579102800-e1/01579102800-e1.jpg?ts=1769087081572&w=4800
197,0.26581764221191406,SOFT FABRIC DRESS WITH KNOT,https://www.zara.com/es/en/soft-fabric-dress-with-knot-p00264154.html,25.95 EUR,SAND / MARL,DRESSES,https://static.zara.net/assets/public/98de/9d49/ccce4a73b928/30120731be0a/00264154081-e1/00264154081-e1.jpg?ts=1768987634441&w=4800
175,0.265105277299881,CUT-OUT LACE DRESS,https://www.zara.com/es/en/cut-out-lace-dress-p01067002.html,29.95 EUR,BLACK,DRESSES,https://static.zara.net/assets/public/f242/f935/18564f799826/4d76eff40d48/01067002800-e1/01067002800-e1.jpg?ts=1768560261568&w=4800
202,0.26418209075927734,SATIN MINI DRESS,https://www.zara.com/es/en/satin-mini-dress-p02678108.html,35.95 EUR,BLUE / NAVY,DRESSES,https://static.zara.net/assets/public/1d8a/6511/4d784a9f942b/6b2e02048dee/02678108073-e1/02678108073-e1.jpg?ts=1768491253872&w=4800
195,0.26397067308425903,TRF ZIP-UP DENIM DRESS,https://www.zara.com/es/en/trf-zip-up-denim-dress-p06929085.html,35.95 EUR,DARK INDIGO,DRESSES,https://static.zara.net/assets/public/cfa1/79b2/1319485b842e/9a66c4e1b6f4/06929085443-e1/06929085443-e1.jpg?ts=1769161324793&w=4800
217,0.26326698064804077,MIDI DRESS WITH TIE DETAIL,https://www.zara.com/es/en/midi-dress-with-bow-detail-p04772304.html,35.95 EUR,WHITE / GREY,DRESSES,https://static.zara.net/assets/public/27fd/856e/410e4cbfadf2/c8465c6af266/04772304096-e1/04772304096-e1.jpg?ts=1767952396507&w=4800
167,0.2629941403865814,CHECKED SHORT DRESS,https://www.zara.com/es/en/checked-short-dress-p04764302.html,35.95 EUR,ECRU / BEIGE,DRESSES,https://static.zara.net/assets/public/e217/064f/622243d69a65/c532096adab2/04764302075-e1/04764302075-e1.jpg?ts=1767605416836&w=4800
